ds,y,yhat
2007-05-01,267574.0,265274.8259155518
2007-06-01,265374.0,267196.8577253154
2007-07-01,267106.0,267918.6099133841
2007-08-01,271225.0,268251.83207610087
2007-09-01,245965.0,250077.69256621678
2007-10-01,261423.0,258845.52334825054
2007-11-01,245787.0,247977.719630093
2007-12-01,240281.0,249159.5296219889
2008-01-01,232920.0,227831.2409625853
2008-02-01,221336.0,219284.3734131715
2008-03-01,252343.0,258759.0048179512
2008-04-01,252088.0,248644.08105965468
2008-05-01,261466.0,265261.9685378703
2008-06-01,257484.0,260907.24054843828
2008-07-01,261600.0,261272.99291401016
2008-08-01,260609.0,264292.97488540324
2008-09-01,239607.0,237674.31344322546
2008-10-01,255848.0,253270.5956695524
2008-11-01,236465.0,240338.91195947558
2008-12-01,241742.0,234770.36582695515
2009-01-01,225529.0,230018.3028003829
2009-02-01,217643.0,215288.41664615372
2009-03-01,249741.0,249683.471423332
2009-04-01,251374.0,248343.42374015594
2009-05-01,258276.0,261104.6530318141
2009-06-01,258395.0,256083.15903107138
2009-07-01,264472.0,261931.42719253115
2009-08-01,260297.0,263480.21636174276
2009-09-01,241970.0,239569.83061247595
2009-10-01,252209.0,256395.9148107443
2009-11-01,237264.0,235746.12483506117
2009-12-01,239593.0,240624.66569095576
2010-01-01,220839.0,224750.89168286597
2010-02-01,210635.0,212981.07267072264
2010-03-01,254238.0,244186.26745095028
2010-04-01,253936.0,251912.2201184064
2010-05-01,256927.0,261722.93453758844
2010-06-01,260083.0,257621.15931742912
2010-07-01,265315.0,264934.95000433945
2010-08-01,263837.0,262593.68010404654
2010-09-01,244682.0,243909.41449490827
2010-10-01,256395.0,255830.92830464616
2010-11-01,239579.0,241114.61798579418
2010-12-01,240800.0,242129.20258228164
2011-01-01,223790.0,224117.22152750005
2011-02-01,213463.0,213777.3056788377
2011-03-01,253124.0,253742.96967816143
2011-04-01,249578.0,252634.89613105022
2011-05-01,254083.0,255927.12603515448
2011-06-01,258350.0,256336.99085167763
2011-07-01,260175.0,262899.3710819239
2011-08-01,260526.0,259586.98264373717
2011-09-01,242062.0,240572.20825043137
2011-10-01,251906.0,253688.01781845294
2011-11-01,238535.0,236034.78439608193
2011-12-01,244810.0,239414.7004053365
2012-01-01,227527.0,226948.9798248812
2012-02-01,218196.0,216987.45744045542
2012-03-01,256166.0,256405.80985358753
